state,state_abbr,fiscal_year,program_category,expenditure_category,expenditure_amount,federal_share,state_share,total_computable_expenditure,source_file,source_url,source_type,notes,date_accessed,review_status
Alabama,AL,2019,CHIP,Total,242908069,242908069,0,242908069,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Montana,MT,2019,CHIP,Total,84553783,83606427,947356,84553783,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Nebraska,NE,2019,CHIP,Total,13310782,11987471,1323311,13310782,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Nevada,NV,2019,CHIP,Total,57772292,56842457,929835,57772292,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
New Hampshire,NH,2019,CHIP,Total,13335,11732,1603,13335,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
New Jersey,NJ,2019,CHIP,Total,357479480,314242298,43237182,357479480,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
New Mexico,NM,2019,CHIP,Total,2187044,2187044,0,2187044,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
New York,NY,2019,CHIP,Total,840973481,740057305,100916176,840973481,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
North Carolina,NC,2019,CHIP,Total,252352662,252315696,36966,252352662,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
North Dakota,ND,2019,CHIP,Total,10169390,8949924,1219466,10169390,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Ohio,OH,2019,CHIP,Total,42058644,40864159,1194485,42058644,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Oklahoma,OK,2019,CHIP,Total,-7180076,-6903629,-276447,-7180076,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Oregon,OR,2019,CHIP,Total,327655105,317257092,10398013,327655105,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Pennsylvania,PA,2019,CHIP,Total,450255000,403337121,46917879,450255000,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Rhode Island,RI,2019,CHIP,Total,5010442,4499378,511064,5010442,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
South Carolina,SC,2019,CHIP,Total,13926272,13926272,0,13926272,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
South Dakota,SD,2019,CHIP,Total,9856696,9138443,718253,9856696,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Tennessee,TN,2019,CHIP,Total,131724860,130551020,1173840,131724860,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Texas,TX,2019,CHIP,Total,987037259,925134049,61903210,987037259,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Utah,UT,2019,CHIP,Total,44719317,44725617,-6300,44719317,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Vermont,VT,2019,CHIP,Total,-209912,-190423,-19489,-209912,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Virginia,VA,2019,CHIP,Total,229702628,202144402,27558226,229702628,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Washington,WA,2019,CHIP,Total,192828505,169783407,23045098,192828505,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
West Virginia,WV,2019,CHIP,Total,52110137,52110137,0,52110137,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Wisconsin,WI,2019,CHIP,Total,114446529,108352973,6093556,114446529,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Wyoming,WY,2019,CHIP,Total,12359127,10876033,1483094,12359127,FY 2019 CHIP NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alabama,AL,2019,Medicaid Program,Total Net Expenditures,5880233770,4243158454,4243158454,5880233770,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alabama,AL,2019,Medicaid Program,Total Newly Eligible,0,0,0,0,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alabama,AL,2019,Medicaid Program,Total Not Newly,0,0,0,0,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alabama,AL,2019,Medicaid Program,Total VIII Group,0,0,0,0,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alaska,AK,2019,Medicaid Program,Total Net Expenditures,2096340139,1528458297,1528667964,2096340139,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alaska,AK,2019,Medicaid Program,Total Newly Eligible,447673889,428488183,428488183,447673889,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alaska,AK,2019,Medicaid Program,Total Not Newly,0,0,0,0,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Alaska,AK,2019,Medicaid Program,Total VIII Group,447673889,428488183,428488183,447673889,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Arizona,AZ,2019,Medicaid Program,Total Net Expenditures,13167873159,10108684867,10108703153,13167873159,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Arizona,AZ,2019,Medicaid Program,Total Newly Eligible,445165327,416191383,416191383,445165327,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Arizona,AZ,2019,Medicaid Program,Total Not Newly,2783878025,2593858151,2593858151,2783878025,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Arizona,AZ,2019,Medicaid Program,Total VIII Group,3229043352,3010049534,3010049534,3229043352,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
Arkansas,AR,2019,Medicaid Program,Total Net Expenditures,6842930884,5230018232,5230150513,6842930884,FY 2019 FMR NET EXPENDITURES.xlsx,https://www.medicaid.gov/medicaid/financial-management/downloads/financial-management-report-fy2019.zip,Medicaid.gov MBES/CBES Financial Management Report Excel,Review candidate extracted from official MBES/CBES state worksheet total row. Fiscal-year financial reporting value; not monthly enrollment; payment-basis reporting and prior-period adjustments may apply.,2026-06-22,needs_review
