reporting_month,applications_submitted,total_medicaid_chip_determinations,application_determination_balance,national_population_denominator,application_determination_balance_per_100000_residents,state_records
2021-10-01,1870365.000000,1179846.000000,690519.000000,332099760.000000,207.925173,51
2021-11-01,1818589.000000,1149527.000000,669062.000000,332099760.000000,201.464162,51
2021-12-01,1909796.000000,1376926.000000,532870.000000,332099760.000000,160.454798,51
2022-01-01,1936851.000000,1199725.000000,737126.000000,334017321.000000,220.684963,51
2022-02-01,1618919.000000,1116736.000000,502183.000000,334017321.000000,150.346395,51
2022-03-01,1794825.000000,1246622.000000,548203.000000,334017321.000000,164.124123,51
2022-04-01,1627224.000000,1099997.000000,527227.000000,334017321.000000,157.844210,51
2022-05-01,1610584.000000,1065331.000000,545253.000000,334017321.000000,163.240936,51
2022-06-01,1673615.000000,1067368.000000,606247.000000,334017321.000000,181.501665,51
2022-07-01,1668579.000000,1124356.000000,544223.000000,334017321.000000,162.932568,51
2022-08-01,2017470.000000,1287660.000000,729810.000000,334017321.000000,218.494657,51
2022-09-01,1860497.000000,1173502.000000,686995.000000,334017321.000000,205.676460,51
2022-10-01,2042984.000000,1469262.000000,573722.000000,334017321.000000,171.764146,51
2022-11-01,1841252.000000,1224547.000000,616705.000000,334017321.000000,184.632641,51
2022-12-01,1932684.000000,1394414.000000,538270.000000,334017321.000000,161.150325,51
2023-01-01,1974716.000000,1329707.000000,645009.000000,336806231.000000,191.507443,51
2023-02-01,1673862.000000,1258416.000000,415446.000000,336806231.000000,123.348668,51
2023-03-01,1886854.000000,1505943.000000,380911.000000,336806231.000000,113.094998,51
2023-04-01,1809247.000000,1421060.000000,388187.000000,336806231.000000,115.255291,51
2023-05-01,2021304.000000,1589224.000000,432080.000000,336806231.000000,128.287413,51
2023-06-01,2153569.000000,1620673.000000,532896.000000,336806231.000000,158.220351,51
2023-07-01,2280754.000000,1627682.000000,653072.000000,336806231.000000,193.901401,51
2023-08-01,2581955.000000,1852087.000000,729868.000000,336806231.000000,216.702642,51
2023-09-01,2528369.000000,1789065.000000,739304.000000,336806231.000000,219.504253,51
2023-10-01,2855690.000000,1901472.000000,954218.000000,336806231.000000,283.313642,51
2023-11-01,2918451.000000,1837484.000000,1080967.000000,336806231.000000,320.946259,51
2023-12-01,2921171.000000,2323308.000000,597863.000000,336806231.000000,177.509483,51
2024-01-01,3192033.000000,1947941.000000,1244092.000000,340110988.000000,365.790005,51
2024-02-01,2668509.000000,1944959.000000,723550.000000,340110988.000000,212.739378,51
2024-03-01,2752375.000000,1909669.000000,842706.000000,340110988.000000,247.773824,51
2024-04-01,2700698.000000,1900260.000000,800438.000000,340110988.000000,235.346116,51
2024-05-01,2638791.000000,1802307.000000,836484.000000,340110988.000000,245.944421,51
2024-06-01,2462644.000000,1731817.000000,730827.000000,340110988.000000,214.878974,51
2024-07-01,2700152.000000,1806777.000000,893375.000000,340110988.000000,262.671608,51
2024-08-01,2701681.000000,1935880.000000,765801.000000,340110988.000000,225.162087,51
2024-09-01,2559738.000000,1809339.000000,750399.000000,340110988.000000,220.633566,51
2024-10-01,2907262.000000,1937031.000000,970231.000000,340110988.000000,285.268937,51
2024-11-01,2730745.000000,1731261.000000,999484.000000,340110988.000000,293.869953,51
2024-12-01,3034441.000000,2028674.000000,1005767.000000,340110988.000000,295.717291,51
2025-01-01,3037612.000000,2007381.000000,1030231.000000,340110988.000000,302.910237,51
2025-02-01,2377895.000000,1835614.000000,542281.000000,340110988.000000,159.442364,51
2025-03-01,2488450.000000,1851068.000000,637382.000000,340110988.000000,187.404119,51
2025-04-01,2467877.000000,1809103.000000,658774.000000,340110988.000000,193.693830,51
2025-05-01,2305722.000000,1715563.000000,590159.000000,340110988.000000,173.519534,51
2025-06-01,2300699.000000,1613749.000000,686950.000000,340110988.000000,201.978185,51
2025-07-01,2444547.000000,1679879.000000,764668.000000,340110988.000000,224.828961,51
2025-08-01,2350187.000000,1673019.000000,677168.000000,340110988.000000,199.102065,51
2025-09-01,2432300.000000,1720750.000000,711550.000000,340110988.000000,209.211118,51
2025-10-01,2412842.000000,1719726.000000,693116.000000,340110988.000000,203.791122,51
2025-11-01,2979207.000000,1484804.000000,1494403.000000,340110988.000000,439.386863,51
2025-12-01,3062082.000000,1915036.000000,1147046.000000,340110988.000000,337.256378,51
2026-01-01,2798677.000000,1776061.000000,1022616.000000,340110988.000000,300.671262,51
2026-02-01,2460804.000000,1601892.000000,858912.000000,340110988.000000,252.538739,51
